testcase;time;mutants;score;samples
librope;252;448;62.94643;40
librope;232;419;62.29117;40
librope;263;436;64.90826;40
librope;253;473;64.48203;40
librope;248;476;65.336136;40
librope;265;481;61.95426;40
librope;233;469;61.62047;40
librope;251;468;63.247864;40
librope;255;465;65.16129;40
librope;319;570;65.26316;50
librope;281;561;62.92335;50
librope;308;577;64.644714;50
librope;306;603;61.359867;50
librope;286;555;64.324326;50
librope;306;580;63.62069;50
librope;323;576;62.67361;50
librope;279;583;64.15094;50
librope;329;565;65.486725;50
librope;325;580;62.41379;50
librope;272;550;62.363636;50
librope;305;576;63.88889;50
librope;315;586;64.163826;50
librope;313;597;64.154106;50
librope;292;556;63.669064;50
fsm;1418;94;30.851065;10
fsm;1351;92;32.608696;10
fsm;1387;93;33.333332;10
fsm;1379;105;24.761906;10
fsm;1365;90;31.11111;10
fsm;1392;109;26.605505;10
fsm;1458;104;25.961538;10
fsm;1346;106;27.35849;10
fsm;1409;110;27.272728;10
fsm;1479;93;29.032259;10
fsm;1420;101;25.742575;10
fsm;1478;103;24.271845;10
fsm;1405;103;32.038834;10
fsm;1398;108;25.925926;10
fsm;1389;101;26.732674;10
fsm;1663;189;28.042328;20
fsm;1740;217;29.032259;20
fsm;1643;197;28.426395;20
fsm;1721;201;24.875622;20
fsm;1621;176;25.568182;20
fsm;1476;184;30.97826;20
fsm;1581;185;30.27027;20
fsm;1560;185;29.18919;20
fsm;1615;192;25.0;20
fsm;1569;198;30.30303;20
fsm;1599;186;25.268818;20
fsm;1652;198;24.747475;20
fsm;1688;193;29.015545;20
fsm;1701;184;25.0;20
fsm;1580;185;30.27027;20
fsm;1840;255;30.980392;30
fsm;1841;291;27.49141;30
fsm;1935;295;28.135593;30
fsm;1881;293;26.962458;30
fsm;1951;299;27.42475;30
fsm;1829;270;28.518518;30
fsm;1999;301;28.239202;30
fsm;1860;279;29.032259;30
fsm;1776;265;29.056604;30
fsm;1763;264;28.40909;30
fsm;1787;268;23.880596;30
fsm;1791;268;27.985075;30
fsm;1832;275;27.272728;30
fsm;1978;299;26.086956;30
fsm;1943;276;24.275362;30
